Simulation number,run_time,HEURISTIC,ALGORITHM,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
1137501,3,True,DPWSolver,100,50,0.9998,2037125,0,2037125
1137502,3,False,DPWSolver,100,50,0.9998,2265760,0,2265760
1137503,18,True,NAIVE,100,50,0.9998,2061123,0,2061123
1137504,25,False,NAIVE,100,50,0.9998,2152178,0,2152178
1137505,1,True,ProgressiveWideningSolver,100,50,0.9998,2035204,0,2035204
1137506,2,False,ProgressiveWideningSolver,100,50,0.9998,2272321,0,2272321
1137507,3,True,DPWSolver,100,50,0.998,2117075,0,2117075
1137508,3,False,DPWSolver,100,50,0.998,2263793,0,2263793
1137509,20,True,NAIVE,100,50,0.998,1995484,0,1995484
1137510,25,False,NAIVE,100,50,0.998,2213088,0,2213088
1137511,1,True,ProgressiveWideningSolver,100,50,0.998,2071415,0,2071415
1137512,2,False,ProgressiveWideningSolver,100,50,0.998,2181160,0,2181160
1137513,5,True,DPWSolver,100,100,0.9998,1922662,0,1922662
1137514,5,False,DPWSolver,100,100,0.9998,2154626,0,2154626
1137515,47,True,NAIVE,100,100,0.9998,1936356,0,1936356
1137516,59,False,NAIVE,100,100,0.9998,2094055,0,2094055
1137517,3,True,ProgressiveWideningSolver,100,100,0.9998,2076903,0,2076903
1137518,4,False,ProgressiveWideningSolver,100,100,0.9998,2267918,0,2267918
1137519,5,True,DPWSolver,100,100,0.998,1956723,0,1956723
1137520,5,False,DPWSolver,100,100,0.998,2140679,0,2140679
1137521,53,True,NAIVE,100,100,0.998,1967990,0,1967990
1137522,66,False,NAIVE,100,100,0.998,1995778,0,1995778
1137523,3,True,ProgressiveWideningSolver,100,100,0.998,2026350,0,2026350
1137524,4,False,ProgressiveWideningSolver,100,100,0.998,2140321,0,2140321
1137525,10,True,DPWSolver,100,200,0.9998,2117272,0,2117272
1137526,10,False,DPWSolver,100,200,0.9998,2192007,0,2192007
1137527,130,True,NAIVE,100,200,0.9998,1998009,0,1998009
1137528,156,False,NAIVE,100,200,0.9998,2087842,0,2087842
1137529,5,True,ProgressiveWideningSolver,100,200,0.9998,1960552,0,1960552
1137530,6,False,ProgressiveWideningSolver,100,200,0.9998,2297721,0,2297721
1137531,9,True,DPWSolver,100,200,0.998,1958972,0,1958972
1137532,10,False,DPWSolver,100,200,0.998,2097854,0,2097854
1137533,121,True,NAIVE,100,200,0.998,1982420,0,1982420
1137534,147,False,NAIVE,100,200,0.998,2208424,0,2208424
1137535,5,True,ProgressiveWideningSolver,100,200,0.998,2043321,0,2043321
1137536,6,False,ProgressiveWideningSolver,100,200,0.998,2183463,0,2183463
1137537,21,True,DPWSolver,100,500,0.9998,1938990,0,1938990
1137538,25,False,DPWSolver,100,500,0.9998,2162681,0,2162681
1137539,244,True,NAIVE,100,500,0.9998,1929095,0,1929095
1137540,350,False,NAIVE,100,500,0.9998,2009904,0,2009904
1137541,9,True,ProgressiveWideningSolver,100,500,0.9998,2051182,0,2051182
1137542,11,False,ProgressiveWideningSolver,100,500,0.9998,2204901,0,2204901
1137543,22,True,DPWSolver,100,500,0.998,1977932,0,1977932
1137544,25,False,DPWSolver,100,500,0.998,2228609,0,2228609
1137545,271,True,NAIVE,100,500,0.998,1972140,0,1972140
1137546,345,False,NAIVE,100,500,0.998,2041950,0,2041950
1137547,19,True,ProgressiveWideningSolver,100,500,0.998,2103916,0,2103916
1137548,21,False,ProgressiveWideningSolver,100,500,0.998,2185478,0,2185478
1137549,46,True,DPWSolver,100,1000,0.9998,1988103,0,1988103
1137550,48,False,DPWSolver,100,1000,0.9998,2153874,0,2153874
1137551,373,True,NAIVE,100,1000,0.9998,1920125,0,1920125
1137552,499,False,NAIVE,100,1000,0.9998,2101605,0,2101605
1137553,16,True,ProgressiveWideningSolver,100,1000,0.9998,2023909,0,2023909
1137554,19,False,ProgressiveWideningSolver,100,1000,0.9998,2145899,0,2145899
1137555,44,True,DPWSolver,100,1000,0.998,1933214,0,1933214
1137556,54,False,DPWSolver,100,1000,0.998,2062998,0,2062998
1137557,377,True,NAIVE,100,1000,0.998,1906986,0,1906986
1137558,486,False,NAIVE,100,1000,0.998,1994429,0,1994429
1137559,17,True,ProgressiveWideningSolver,100,1000,0.998,1961153,0,1961153
1137560,21,False,ProgressiveWideningSolver,100,1000,0.998,2166881,0,2166881
1137561,99,True,DPWSolver,100,2000,0.9998,2003696,0,2003696
1137562,111,False,DPWSolver,100,2000,0.9998,2231098,0,2231098
1137563,542,True,NAIVE,100,2000,0.9998,1851752,0,1851752
1137564,693,False,NAIVE,100,2000,0.9998,1981700,0,1981700
1137565,32,True,ProgressiveWideningSolver,100,2000,0.9998,2046918,0,2046918
1137566,48,False,ProgressiveWideningSolver,100,2000,0.9998,2158405,0,2158405
1137567,96,True,DPWSolver,100,2000,0.998,2026314,0,2026314
1137568,118,False,DPWSolver,100,2000,0.998,2152651,0,2152651
1137569,568,True,NAIVE,100,2000,0.998,1913574,0,1913574
1137570,754,False,NAIVE,100,2000,0.998,2024115,0,2024115
1137571,31,True,ProgressiveWideningSolver,100,2000,0.998,2017885,0,2017885
1137572,40,False,ProgressiveWideningSolver,100,2000,0.998,2190720,0,2190720
1137573,270,True,DPWSolver,100,5000,0.9998,2014286,0,2014286
1137574,308,False,DPWSolver,100,5000,0.9998,2086650,0,2086650
1137575,793,True,NAIVE,100,5000,0.9998,1950780,0,1950780
1137576,1107,False,NAIVE,100,5000,0.9998,2000018,0,2000018
1137577,110,True,ProgressiveWideningSolver,100,5000,0.9998,1961546,0,1961546
1137578,126,False,ProgressiveWideningSolver,100,5000,0.9998,2226184,0,2226184
1137579,275,True,DPWSolver,100,5000,0.998,2012528,0,2012528
1137580,311,False,DPWSolver,100,5000,0.998,2196172,0,2196172
1137581,814,True,NAIVE,100,5000,0.998,1882637,0,1882637
1137582,1082,False,NAIVE,100,5000,0.998,1972491,0,1972491
1137583,113,True,ProgressiveWideningSolver,100,5000,0.998,2017232,0,2017232
1137584,133,False,ProgressiveWideningSolver,100,5000,0.998,2180300,0,2180300
1137585,3,True,DPWSolver,1000,50,0.9998,2049743,0,2049743
1137586,3,False,DPWSolver,1000,50,0.9998,2143698,0,2143698
1137587,22,True,NAIVE,1000,50,0.9998,2037570,0,2037570
1137588,26,False,NAIVE,1000,50,0.9998,2202530,0,2202530
1137589,1,True,ProgressiveWideningSolver,1000,50,0.9998,2079511,0,2079511
1137590,2,False,ProgressiveWideningSolver,1000,50,0.9998,2124013,0,2124013
1137591,3,True,DPWSolver,1000,50,0.998,1978108,0,1978108
1137592,3,False,DPWSolver,1000,50,0.998,2222774,0,2222774
1137593,22,True,NAIVE,1000,50,0.998,2022162,0,2022162
1137594,28,False,NAIVE,1000,50,0.998,2199733,0,2199733
1137595,2,True,ProgressiveWideningSolver,1000,50,0.998,2033521,0,2033521
1137596,2,False,ProgressiveWideningSolver,1000,50,0.998,2246141,0,2246141
1137597,5,True,DPWSolver,1000,100,0.9998,1992977,0,1992977
1137598,6,False,DPWSolver,1000,100,0.9998,2166140,0,2166140
1137599,58,True,NAIVE,1000,100,0.9998,1979231,0,1979231
1137600,66,False,NAIVE,1000,100,0.9998,2148497,0,2148497
1137601,3,True,ProgressiveWideningSolver,1000,100,0.9998,2001734,0,2001734
1137602,3,False,ProgressiveWideningSolver,1000,100,0.9998,2251717,0,2251717
1137603,5,True,DPWSolver,1000,100,0.998,1968963,0,1968963
1137604,5,False,DPWSolver,1000,100,0.998,2211830,0,2211830
1137605,50,True,NAIVE,1000,100,0.998,1935555,0,1935555
1137606,68,False,NAIVE,1000,100,0.998,2068612,0,2068612
1137607,3,True,ProgressiveWideningSolver,1000,100,0.998,1986883,0,1986883
1137608,3,False,ProgressiveWideningSolver,1000,100,0.998,2202301,0,2202301
1137609,9,True,DPWSolver,1000,200,0.9998,1993903,0,1993903
1137610,10,False,DPWSolver,1000,200,0.9998,2108096,0,2108096
1137611,125,True,NAIVE,1000,200,0.9998,2070698,0,2070698
1137612,148,False,NAIVE,1000,200,0.9998,2164929,0,2164929
1137613,5,True,ProgressiveWideningSolver,1000,200,0.9998,1889778,0,1889778
1137614,5,False,ProgressiveWideningSolver,1000,200,0.9998,2134914,0,2134914
1137615,10,True,DPWSolver,1000,200,0.998,1978265,0,1978265
1137616,11,False,DPWSolver,1000,200,0.998,2140932,0,2140932
1137617,127,True,NAIVE,1000,200,0.998,2044852,0,2044852
1137618,147,False,NAIVE,1000,200,0.998,2155875,0,2155875
1137619,5,True,ProgressiveWideningSolver,1000,200,0.998,1980785,0,1980785
1137620,6,False,ProgressiveWideningSolver,1000,200,0.998,2152712,0,2152712
1137621,23,True,DPWSolver,1000,500,0.9998,1999584,0,1999584
1137622,24,False,DPWSolver,1000,500,0.9998,2133931,0,2133931
1137623,275,True,NAIVE,1000,500,0.9998,1985924,0,1985924
1137624,340,False,NAIVE,1000,500,0.9998,2037403,0,2037403
1137625,9,True,ProgressiveWideningSolver,1000,500,0.9998,2092280,0,2092280
1137626,11,False,ProgressiveWideningSolver,1000,500,0.9998,2110524,0,2110524
1137627,21,True,DPWSolver,1000,500,0.998,1923227,0,1923227
1137628,25,False,DPWSolver,1000,500,0.998,2153717,0,2153717
1137629,261,True,NAIVE,1000,500,0.998,1950196,0,1950196
1137630,327,False,NAIVE,1000,500,0.998,2053592,0,2053592
1137631,9,True,ProgressiveWideningSolver,1000,500,0.998,1997010,0,1997010
1137632,11,False,ProgressiveWideningSolver,1000,500,0.998,2165655,0,2165655
1137633,51,True,DPWSolver,1000,1000,0.9998,2010876,0,2010876
1137634,52,False,DPWSolver,1000,1000,0.9998,2128289,0,2128289
1137635,414,True,NAIVE,1000,1000,0.9998,1909449,0,1909449
1137636,555,False,NAIVE,1000,1000,0.9998,1985392,0,1985392
1137637,17,True,ProgressiveWideningSolver,1000,1000,0.9998,1939828,0,1939828
1137638,22,False,ProgressiveWideningSolver,1000,1000,0.9998,2250981,0,2250981
1137639,49,True,DPWSolver,1000,1000,0.998,1932546,0,1932546
1137640,54,False,DPWSolver,1000,1000,0.998,2175624,0,2175624
1137641,423,True,NAIVE,1000,1000,0.998,1911964,0,1911964
1137642,529,False,NAIVE,1000,1000,0.998,2006358,0,2006358
1137643,19,True,ProgressiveWideningSolver,1000,1000,0.998,2039502,0,2039502
1137644,22,False,ProgressiveWideningSolver,1000,1000,0.998,2281997,0,2281997
1137645,100,True,DPWSolver,1000,2000,0.9998,1984933,0,1984933
1137646,122,False,DPWSolver,1000,2000,0.9998,2168866,0,2168866
1137647,585,True,NAIVE,1000,2000,0.9998,1894790,0,1894790
1137648,788,False,NAIVE,1000,2000,0.9998,1983735,0,1983735
1137649,35,True,ProgressiveWideningSolver,1000,2000,0.9998,2074263,0,2074263
1137650,43,False,ProgressiveWideningSolver,1000,2000,0.9998,2124321,0,2124321
1137651,105,True,DPWSolver,1000,2000,0.998,2067948,0,2067948
1137652,117,False,DPWSolver,1000,2000,0.998,2127018,0,2127018
1137653,563,True,NAIVE,1000,2000,0.998,1949283,0,1949283
1137654,794,False,NAIVE,1000,2000,0.998,1974693,0,1974693
1137655,31,True,ProgressiveWideningSolver,1000,2000,0.998,2037474,0,2037474
1137656,40,False,ProgressiveWideningSolver,1000,2000,0.998,2185717,0,2185717
1137657,281,True,DPWSolver,1000,5000,0.9998,1955923,0,1955923
1137658,328,False,DPWSolver,1000,5000,0.9998,2125979,0,2125979
1137659,847,True,NAIVE,1000,5000,0.9998,1919550,0,1919550
1137660,1123,False,NAIVE,1000,5000,0.9998,2062609,0,2062609
1137661,112,True,ProgressiveWideningSolver,1000,5000,0.9998,2044055,0,2044055
1137662,135,False,ProgressiveWideningSolver,1000,5000,0.9998,2142362,0,2142362
1137663,282,True,DPWSolver,1000,5000,0.998,2004328,0,2004328
1137664,327,False,DPWSolver,1000,5000,0.998,2137445,0,2137445
1137665,848,True,NAIVE,1000,5000,0.998,1897364,0,1897364
1137666,1134,False,NAIVE,1000,5000,0.998,1990872,0,1990872
1137667,114,True,ProgressiveWideningSolver,1000,5000,0.998,1962884,0,1962884
1137668,131,False,ProgressiveWideningSolver,1000,5000,0.998,2201793,0,2201793
1137669,3,True,DPWSolver,10000,50,0.9998,2066195,0,2066195
1137670,3,False,DPWSolver,10000,50,0.9998,2281435,0,2281435
1137671,23,True,NAIVE,10000,50,0.9998,1964886,0,1964886
1137672,28,False,NAIVE,10000,50,0.9998,2133312,0,2133312
1137673,2,True,ProgressiveWideningSolver,10000,50,0.9998,2118745,0,2118745
1137674,2,False,ProgressiveWideningSolver,10000,50,0.9998,2253138,0,2253138
1137675,3,True,DPWSolver,10000,50,0.998,2069632,0,2069632
1137676,3,False,DPWSolver,10000,50,0.998,2141844,0,2141844
1137677,52,True,NAIVE,10000,50,0.998,2030442,0,2030442
1137678,47,False,NAIVE,10000,50,0.998,2212791,0,2212791
1137679,3,True,ProgressiveWideningSolver,10000,50,0.998,2163341,0,2163341
1137680,3,False,ProgressiveWideningSolver,10000,50,0.998,2170702,0,2170702
1137681,5,True,DPWSolver,10000,100,0.9998,1965349,0,1965349
1137682,6,False,DPWSolver,10000,100,0.9998,2187998,0,2187998
1137683,50,True,NAIVE,10000,100,0.9998,1927173,0,1927173
1137684,65,False,NAIVE,10000,100,0.9998,2148691,0,2148691
1137685,3,True,ProgressiveWideningSolver,10000,100,0.9998,1917068,0,1917068
1137686,4,False,ProgressiveWideningSolver,10000,100,0.9998,2233833,0,2233833
1137687,5,True,DPWSolver,10000,100,0.998,2016986,0,2016986
1137688,6,False,DPWSolver,10000,100,0.998,2244770,0,2244770
1137689,56,True,NAIVE,10000,100,0.998,1933160,0,1933160
1137690,66,False,NAIVE,10000,100,0.998,2065752,0,2065752
1137691,3,True,ProgressiveWideningSolver,10000,100,0.998,1952527,0,1952527
1137692,3,False,ProgressiveWideningSolver,10000,100,0.998,2149317,0,2149317
1137693,9,True,DPWSolver,10000,200,0.9998,1968214,0,1968214
1137694,10,False,DPWSolver,10000,200,0.9998,2103985,0,2103985
1137695,123,True,NAIVE,10000,200,0.9998,2054609,0,2054609
1137696,163,False,NAIVE,10000,200,0.9998,2141790,0,2141790
1137697,5,True,ProgressiveWideningSolver,10000,200,0.9998,1982714,0,1982714
1137698,6,False,ProgressiveWideningSolver,10000,200,0.9998,2199139,0,2199139
1137699,10,True,DPWSolver,10000,200,0.998,1956133,0,1956133
1137700,11,False,DPWSolver,10000,200,0.998,2179177,0,2179177
1137701,134,True,NAIVE,10000,200,0.998,1987461,0,1987461
1137702,164,False,NAIVE,10000,200,0.998,2094369,0,2094369
1137703,5,True,ProgressiveWideningSolver,10000,200,0.998,2041671,0,2041671
1137704,6,False,ProgressiveWideningSolver,10000,200,0.998,2208718,0,2208718
1137705,24,True,DPWSolver,10000,500,0.9998,1982488,0,1982488
1137706,25,False,DPWSolver,10000,500,0.9998,2134425,0,2134425
1137707,286,True,NAIVE,10000,500,0.9998,1954628,0,1954628
1137708,335,False,NAIVE,10000,500,0.9998,2027993,0,2027993
1137709,9,True,ProgressiveWideningSolver,10000,500,0.9998,1975009,0,1975009
1137710,11,False,ProgressiveWideningSolver,10000,500,0.9998,2202158,0,2202158
1137711,23,True,DPWSolver,10000,500,0.998,1923752,0,1923752
1137712,25,False,DPWSolver,10000,500,0.998,2222102,0,2222102
1137713,250,True,NAIVE,10000,500,0.998,1952879,0,1952879
1137714,328,False,NAIVE,10000,500,0.998,2007151,0,2007151
1137715,9,True,ProgressiveWideningSolver,10000,500,0.998,1962815,0,1962815
1137716,11,False,ProgressiveWideningSolver,10000,500,0.998,2088286,0,2088286
1137717,49,True,DPWSolver,10000,1000,0.9998,2031560,0,2031560
1137718,55,False,DPWSolver,10000,1000,0.9998,2134212,0,2134212
1137719,415,True,NAIVE,10000,1000,0.9998,1919201,0,1919201
1137720,539,False,NAIVE,10000,1000,0.9998,2011210,0,2011210
1137721,17,True,ProgressiveWideningSolver,10000,1000,0.9998,1997881,0,1997881
1137722,21,False,ProgressiveWideningSolver,10000,1000,0.9998,2197094,0,2197094
1137723,51,True,DPWSolver,10000,1000,0.998,1999942,0,1999942
1137724,54,False,DPWSolver,10000,1000,0.998,2084228,0,2084228
1137725,411,True,NAIVE,10000,1000,0.998,1881377,0,1881377
1137726,525,False,NAIVE,10000,1000,0.998,2015798,0,2015798
1137727,18,True,ProgressiveWideningSolver,10000,1000,0.998,1988914,0,1988914
1137728,21,False,ProgressiveWideningSolver,10000,1000,0.998,2170059,0,2170059
1137729,101,True,DPWSolver,10000,2000,0.9998,2017083,0,2017083
1137730,119,False,DPWSolver,10000,2000,0.9998,2127689,0,2127689
1137731,587,True,NAIVE,10000,2000,0.9998,1934962,0,1934962
1137732,761,False,NAIVE,10000,2000,0.9998,1966354,0,1966354
1137733,36,True,ProgressiveWideningSolver,10000,2000,0.9998,2087342,0,2087342
1137734,42,False,ProgressiveWideningSolver,10000,2000,0.9998,2201881,0,2201881
1137735,102,True,DPWSolver,10000,2000,0.998,1970566,0,1970566
1137736,120,False,DPWSolver,10000,2000,0.998,2140438,0,2140438
1137737,581,True,NAIVE,10000,2000,0.998,1864865,0,1864865
1137738,800,False,NAIVE,10000,2000,0.998,1953475,0,1953475
1137739,31,True,ProgressiveWideningSolver,10000,2000,0.998,1950290,0,1950290
1137740,41,False,ProgressiveWideningSolver,10000,2000,0.998,2173406,0,2173406
1137741,271,True,DPWSolver,10000,5000,0.9998,1989014,0,1989014
1137742,322,False,DPWSolver,10000,5000,0.9998,2089453,0,2089453
1137743,866,True,NAIVE,10000,5000,0.9998,1873380,0,1873380
1137744,1110,False,NAIVE,10000,5000,0.9998,2009122,0,2009122
1137745,113,True,ProgressiveWideningSolver,10000,5000,0.9998,1970695,0,1970695
1137746,134,False,ProgressiveWideningSolver,10000,5000,0.9998,2226448,0,2226448
1137747,270,True,DPWSolver,10000,5000,0.998,1996239,0,1996239
1137748,312,False,DPWSolver,10000,5000,0.998,2264413,0,2264413
1137749,817,True,NAIVE,10000,5000,0.998,1913231,0,1913231
1137750,1099,False,NAIVE,10000,5000,0.998,1993972,0,1993972
1137751,111,True,ProgressiveWideningSolver,10000,5000,0.998,1954729,0,1954729
1137752,132,False,ProgressiveWideningSolver,10000,5000,0.998,2156780,0,2156780
1137753,3,True,DPWSolver,50000,50,0.9998,1995401,0,1995401
1137754,3,False,DPWSolver,50000,50,0.9998,2161179,0,2161179
1137755,23,True,NAIVE,50000,50,0.9998,2006355,0,2006355
1137756,28,False,NAIVE,50000,50,0.9998,2098797,0,2098797
1137757,2,True,ProgressiveWideningSolver,50000,50,0.9998,2053547,0,2053547
1137758,2,False,ProgressiveWideningSolver,50000,50,0.9998,2216253,0,2216253
1137759,3,True,DPWSolver,50000,50,0.998,2084049,0,2084049
1137760,3,False,DPWSolver,50000,50,0.998,2360289,0,2360289
1137761,21,True,NAIVE,50000,50,0.998,2032223,0,2032223
1137762,27,False,NAIVE,50000,50,0.998,2095934,0,2095934
1137763,2,True,ProgressiveWideningSolver,50000,50,0.998,2029877,0,2029877
1137764,2,False,ProgressiveWideningSolver,50000,50,0.998,2163162,0,2163162
1137765,6,True,DPWSolver,50000,100,0.9998,1991105,0,1991105
1137766,6,False,DPWSolver,50000,100,0.9998,2119791,0,2119791
1137767,54,True,NAIVE,50000,100,0.9998,1959825,0,1959825
1137768,63,False,NAIVE,50000,100,0.9998,2103800,0,2103800
1137769,3,True,ProgressiveWideningSolver,50000,100,0.9998,1975364,0,1975364
1137770,4,False,ProgressiveWideningSolver,50000,100,0.9998,2098531,0,2098531
1137771,6,True,DPWSolver,50000,100,0.998,1983393,0,1983393
1137772,6,False,DPWSolver,50000,100,0.998,2137143,0,2137143
1137773,54,True,NAIVE,50000,100,0.998,1906415,0,1906415
1137774,59,False,NAIVE,50000,100,0.998,2107923,0,2107923
1137775,3,True,ProgressiveWideningSolver,50000,100,0.998,1933770,0,1933770
1137776,4,False,ProgressiveWideningSolver,50000,100,0.998,2219467,0,2219467
1137777,9,True,DPWSolver,50000,200,0.9998,2005132,0,2005132
1137778,11,False,DPWSolver,50000,200,0.9998,2129291,0,2129291
1137779,119,True,NAIVE,50000,200,0.9998,1956688,0,1956688
1137780,152,False,NAIVE,50000,200,0.9998,2042915,0,2042915
1137781,5,True,ProgressiveWideningSolver,50000,200,0.9998,2013318,0,2013318
1137782,5,False,ProgressiveWideningSolver,50000,200,0.9998,2151696,0,2151696
1137783,9,True,DPWSolver,50000,200,0.998,2103762,0,2103762
1137784,10,False,DPWSolver,50000,200,0.998,2147231,0,2147231
1137785,129,True,NAIVE,50000,200,0.998,1927264,0,1927264
1137786,165,False,NAIVE,50000,200,0.998,2086947,0,2086947
